ar-a	('A', 'a')
ra-re	('R', 'r'), ('A', 'e')
ra-ræ	('R', 'r'), ('a', 'æ')
ra-ræ	('R', 'r'), ('A', 'æ')
ra-re	('R', 'r'), ('E', 'e')
ræ-re	('R', 'r'), ('E', 'e')
a-i	('R', 'r'), ('E', 'i')
e-i	('R', 'r'), ('E', 'i')
æ-i	('R', 'r'), ('E', 'i')
ra-ræ	('R', 'r'), ('E', 'æ')
re-ræ	('R', 'r'), ('E', 'æ')
o-u	('R', 'r'), ('u', 'u')
r-rr	('R', 'rr')
s-c	('s', 'c')
sj-ch	('S', 'ch')
si-ci	('S', 'ci')
sj-ci	('S', 'ci')
s-ds	('s', 'ds')
ss-ds	('s', 'ds')
sje-ge	('S', 'g')
sj-j	('S', 'j')
s-ps	('s', 'ps')
s-sc	('s', 'sc')
sj-sh	('S', 'sh')
ci-si	('S', 'si')
s-ss	('s', 'ss')
ds-ss	('s', 'ss')
sj-ti	('S', 'ti')
s-z	('s', 'z')
t-tt	('t', 'tt')
ug-u	('u', 'u')
u-ug	('u', 'ug')
hv-v	('v', 'v')
v-hv	('v', 'hv')
å-o	('V', 'o')
u-o	('V', 'o')
år-o	('V', 'o')
or-o	('V', 'o')
å-or	('V', 'or')
o-or	('V', 'or')
å-u	('V', 'u')
o-u	('V', 'u')
år-ø	('V', 'ø')
or-ø	('V', 'ø')
å-ø	('V', 'ø')
o-ø	('V', 'ø')
øj-øg	('V', 'ø'), ('J', 'g')
øg-øj	('V', 'ø'), ('J', 'j')
o-å	('V', 'å')
u-å	('V', 'å')
år-å	('V', 'å')
or-å	('V', 'å')
y-u	('y', 'u')
yg-y	('y', 'y')
y-yg	('y', 'yg')
ag-a	('æ', 'a')
a-ag	('æ', 'ag')
y-ø	('ø', 'ø')
ø-y	('ø', 'y')
ø-y	('Ø', 'y')
y-ø	('Ø', 'ø')
øg-ø	('ø', 'ø')
ø-øg	('ø', 'øg')
u-o	('å', 'o')
å-o	('å', 'o')
o-u	('å', 'u')
å-u	('å', 'u')
nj-gn	('n', 'g'), ('j', 'n')
ng-gn	('n', 'g'), ('j', 'n')
